gene,name,fluxes,essential,interesting
b3544,dppA,0.9823718127269812,false,false
b1483,ddpF,0.9823718127269752,false,false
b3540,dppF,0.9823718127269812,false,false
b2416,ptsI,0.972002678119344,false,true
b0092,ddlB,0.9823718127269752,false,false
b0381,ddlA,0.9823718127269752,false,false
b1325,ycjG,0.9823718127269794,false,false
b4053,alr,0.9823718127269752,false,false
b2174,lpxT,0.9823718127269752,false,false
b0914,msbA,1.762890088709225e-31,true,false
b1102,fhuE,0.9823718127269752,false,false
b2765,queD,0.9823718127269752,false,false
b1101,ptsG,0.9823718127269752,false,false
b0783,moaC,-1.1020296920314708e-30,true,false
b1190,dadX,0.9823718127269752,false,false
b2415,ptsH,0.972002678119344,false,true
b0870,ltaE,0.9823718127269752,false,false
b2417,crr,0.9823718127269752,false,false
b2551,glyA,0.9683593276136195,false,true
b0781,moaA,-1.1020296920314708e-30,true,false
b2436,hemF,0.982330017892096,false,false
b0679,nagE,0.9823718127269752,false,false
b3867,hemN,0.9823718127269752,false,false
b2290,alaA,0.9823718127269752,false,false
b3959,argB,-2.1161313347568157e-18,true,false
b2379,alaC,0.9823718127269752,false,false
b0038,caiB,0.9823718127269752,false,false
b2818,argA,-2.1161313347568157e-18,true,false
b0037,caiC,0.9823718127269752,false,false
b2697,alaS,0.9823718127269752,false,false
b3457,livH,0.9823718127269752,false,false
b0036,caiD,0.9823718127269752,false,false
b2677,proV,0.9823718127269752,false,false
b3670,ilvN,0.9823718127269752,false,false
b2678,proW,0.9823718127269752,false,false
b2679,proX,0.9823718127269752,false,false
b3460,livJ,0.9823718127269752,false,false
b3456,livM,0.9823718127269752,false,false
b3455,livG,0.9823718127269752,false,false
b3454,livF,0.9823718127269752,false,false
b3671,ilvB,0.9823718127269752,false,false
b4208,cycA,0.9817353444718273,false,false
b4111,proP,0.9823718127269752,false,false
b0040,caiT,0.9823718127269752,false,false
b0078,ilvH,0.9823718127269752,false,false
b0720,gltA,4.7967818666792276e-32,true,false
b0007,yaaJ,0.9823718127269752,false,false
b0077,ilvI,0.9823718127269752,false,false
b0337,codA,0.9823718127269697,false,false
b1849,purT,0.9823718127269752,false,false
b0336,codB,0.9823718127269752,false,false
b3846,fadB,0.9793167202633404,false,true
b0356,frmA,0.9823718127269752,false,false
b1478,adhP,0.9823718127269752,false,false
b3115,tdcD,0.9823718127269752,false,false
b1385,feaB,0.9823718127269752,false,false
b2296,ackA,0.9823718127269752,false,false
b1300,puuC,0.9823718127269752,false,false
b2428,murQ,0.9823718127269778,false,false
b3588,aldB,0.9823718127269752,false,false
b2780,pyrG,2.814770652095504e-16,true,false
b3794,wecG,0.9823718127269752,false,false
b4084,alsK,0.9823718127269752,false,false
b1819,manZ,0.9823718127269752,false,false
b1817,manX,0.9823718127269752,false,false
b4090,rpiB,0.9823718127269752,false,false
b0123,cueO,0.9823718127269752,false,false
b0484,copA,0.9823718127269752,false,false
b1818,manY,0.9823718127269752,false,false
b0516,allC,0.9823718127269727,false,false
